model,beta,mig,elbo
lf,0.03125,0.4509998661588925,-70.53133653085443
lf,0.0625,0.39978939163175,-58.102984078322784
lf,0.125,0.33179779073273385,-49.5143672122231
lf,0.25,0.23440170600803034,-43.54163061214399
lf,0.5,0.16138884697782585,-39.60206005241297
lf,1.0,0.11000650868565363,-38.48526503164557
lf,2.0,0.05346392669573527,-40.79894865011867
lf,4.0,0.006297484521953816,-47.428423531447784
lf,8.0,0.002438496461063467,-49.56790508801424
nlf,0.03125,0.45942371610714117,-78.02424100079114
nlf,0.0625,0.429138603261929,-65.70242039161393
nlf,0.125,0.3203758937752047,-54.3671133306962
nlf,0.25,0.23090321009151116,-45.985846024525316
nlf,0.5,0.1684374334607847,-39.97394185126582
nlf,1.0,0.11044055553527124,-40.07421875
nlf,2.0,0.048663637702321565,-43.07691356803797
nlf,4.0,0.007077091240383894,-48.11839584157437
nlf,8.0,-0.00040619181058872947,-50.08110722409019
bvae,0.03125,-0.004503847823440106,-59.781515773338604
bvae,0.0625,-0.021680322355364882,-53.20745154272152
bvae,0.125,-0.015538997132616804,-47.21352106408228
bvae,0.25,0.009312006834895624,-40.80184743374209
bvae,0.5,-0.010840366783771866,-36.32573613034019
bvae,1.0,-0.03955191690415318,-34.88377670094937
bvae,2.0,-0.02585702070425751,-38.968935423259495
bvae,4.0,0.0032868313131789264,-44.81546368176424
bvae,8.0,-0.0023304170945402437,-50.48571931863133
